mean_fit_time,mean_score_time,mean_test_score,param_C,param_class_weight,param_coef0,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
0.0011989593505859375,0.0,0.38603690863517853,0.1,balanced,10,2,10,poly,"{'gamma': 10, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",315,0.16927779169233617,0.5477225575051661,0.6123724356957946,0.09128709291752773,0.509524665365068,0.0003991365824383162,0.0,0.21282914018805135
0.000799560546875,0.00039992332458496096,0.49638195774369,0.1,balanced,10,3,0.01,poly,"{'gamma': 0.01, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",47,0.5590169943749473,0.6900655593423544,0.7499999999999999,0.12171612389003694,0.361111111111111,0.00039978055781070406,0.0004898040465379741,0.22997012227935193
0.0009992599487304687,0.0,0.48795675127844734,0.1,balanced,10,3,0.1,poly,"{'gamma': 0.1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",74,0.42761798705987897,0.4666666666666668,0.7499999999999999,0.3113761843897638,0.48412291827592707,1.784161275279017e-07,0.0,0.14419160395041472
0.0013991832733154298,0.0001998424530029297,0.31552936873800086,0.1,balanced,10,3,1,poly,"{'gamma': 1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",375,0.16927779169233617,0.5477225575051661,0.361111111111111,0.09128709291752773,0.4082482904638631,0.0004894731129544958,0.0003996849060058594,0.16508318669514999
0.014390039443969726,0.00019989013671875,0.05202933671544202,0.1,balanced,10,3,10,poly,"{'gamma': 10, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",742,0.16927779169233617,-0.01687898945139443,0.055048188256318,-0.08492077756084472,0.13762047064079508,0.004315291404943207,0.0003997802734375,0.09443076519982824
0.0007998466491699219,0.00019989013671875,0.0,0.1,balanced,100,1,0.01,poly,"{'gamma': 0.01, 'coef0': 100, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.00039992416318526013,0.0003997802734375,0.0
0.0006000041961669922,0.0003998279571533203,0.0,0.1,balanced,100,1,0.1,poly,"{'gamma': 0.1, 'coef0': 100, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004899017073328082,0.0004896872457665585,0.0
0.0009994983673095703,0.0,0.10694183867925929,0.1,balanced,100,1,1,poly,"{'gamma': 1, 'coef0': 100, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",665,0.2886751345948129,0.19920476822239896,0.04682929057908452,0.0,0.0,1.784161275279017e-07,0.0,0.11664139159964597
0.0009992122650146484,0.0,0.45798369787948384,0.1,balanced,100,1,10,poly,"{'gamma': 10, 'coef0': 100, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",163,0.35404409643746665,0.573885641347411,0.6330541649476573,0.2477168471534311,0.48121773951145325,3.371747880871523e-07,0.0,0.14116539157445399
0.0005996227264404297,0.00019969940185546876,0.4726201057746905,0.1,balanced,100,2,0.01,poly,"{'gamma': 0.01, 'coef0': 100, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",137,0.6236095644623235,0.6236095644623235,0.6330541649476573,0.12171612389003694,0.361111111111111,0.0004895901227128668,0.0003993988037109375,0.20342201503557641
